板块	公司全称	英文名称	注册地址	A股代码	A股简称	A股上市日期	A股总股本	A股流通股本	B股代码	B股 简 称	B股上市日期	B股总股本	B股流通股本	地      区	省    份	城     市	所属行业	公司网址
中小板	加加食品集团股份有限公司	"Jiajia Food Group Co.,Ltd."	湖南省长沙市宁乡县经济技术开发区站前路	002650	ST加加	2012-01-06	"1,152,000,000"	"1,151,962,350"				0	0	华中	湖南	长沙市	C 制造业	www.jiajiagroup.com
中小板	成都利君实业股份有限公司	"Chengdu Leejun Industrial CO.,LTD."	四川省成都市武侯区武科东二路5号	002651	利君股份	2012-01-06	"1,033,460,000"	"533,138,641"				0	0	西南	四川	成都市	C 制造业	www.cdleejun.com
中小板	苏州扬子江新型材料股份有限公司	"SUZHOU YANGTZE NEW MATERIALS CO.,LTD."	江苏省苏州市相城区潘阳工业园黄埭镇春丰路88号	002652	扬子新材	2012-01-19	"512,064,000"	"447,802,630"				0	0	华东	江苏	苏州市	C 制造业	www.yzjnm.com
中小板	海思科医药集团股份有限公司	"Haisco Pharmaceutical Group Co.,Ltd"	西藏自治区山南市泽当镇三湘大道17号	002653	海思科	2012-01-17	"1,074,479,620"	"474,958,020"				0	0	西南	西藏	山南市	C 制造业	www.haisco.com
中小板	深圳万润科技股份有限公司	"SHENZHEN MASON TECHNOLOGIES CO.,LTD."	广东省深圳市光明新区凤凰街道光侨大道2519号	002654	万润科技	2012-02-17	"874,505,619"	"665,042,391"				0	0	华南	广东	深圳市	L 商务服务	www.mason-led.com
中小板	共达电声股份有限公司	"GETTOP ACCOUSTIC CO.,LTD."	山东省潍坊市坊子区凤山路68号	002655	共达电声	2012-02-17	"360,000,000"	"359,890,950"				0	0	华东	山东	潍坊市	C 制造业	www.gettopacoustic.com
中小板	摩登大道时尚集团股份有限公司	"Modern Avenue Group Co., Ltd."	广东省广州市黄埔区科学城光谱中路23号	002656	ST摩登	2012-02-28	"712,519,844"	"573,267,514"				0	0	华南	广东	广州市	C 制造业	www.modernavenuegroup.com
中小板	北京中科金财科技股份有限公司	"SINODATA CO.,LTD."	北京市海淀区学院路39号唯实大厦1006室	002657	中科金财	2012-02-28	"337,576,686"	"297,323,923"				0	0	华北	北京	北京市	I 信息技术	www.sinodata.net.cn
中小板	北京雪迪龙科技股份有限公司	"Beijing SDL technology co.,ltd"	北京市昌平区高新三街3号	002658	雪迪龙	2012-03-09	"604,900,437"	"306,253,572"				0	0	华北	北京	北京市	C 制造业	www.chsdl.com
中小板	北京凯文德信教育科技股份有限公司	"Beijing Kaiwen Education Technology Co., Ltd"	北京市海淀区北四环西路67号12层1225室	002659	凯文教育	2012-03-09	"598,280,384"	"498,527,762"				0	0	华北	北京	北京市	P 教育	www.kaiwenedu.com
中小板	茂硕电源科技股份有限公司	"Moso Power Supply Technology Co.,Ltd."	广东省深圳市南山区松白路关外小白芒桑泰工业园	002660	茂硕电源	2012-03-16	"274,327,707"	"211,292,047"				0	0	华南	广东	深圳市	C 制造业	www.mosopower.com
中小板	克明面业股份有限公司	"KEMEN NOODLE MANUFACTURING CO.,LTD"	湖南省南县兴盛大道工业园1号	002661	克明面业	2012-03-16	"334,760,450"	"328,584,246"				0	0	华中	湖南	益阳市	C 制造业	www.kemen.net.cn
中小板	北京威卡威汽车零部件股份有限公司	"Beijing WKW Automotive Parts Co.,Ltd."	北京市大兴区欣雅街16号院7号楼15层1501	002662	京威股份	2012-03-09	"1,500,000,000"	"1,499,981,100"				0	0	华北	北京	北京市	C 制造业	www.beijing-wkw.com
中小板	广州普邦园林股份有限公司	"PUBANG LANDSCAPE ARCHITECTURE CO.,LTD"	广东省广州市越秀区寺右新马路南二街一巷14-20号首层	002663	普邦股份	2012-03-16	"1,795,890,452"	"1,311,009,212"				0	0	华南	广东	广州市	E 建筑业	www.pblandscape.com
中小板	长鹰信质科技股份有限公司	"Changying Xinzhi Technology Co.,Ltd."	浙江省台州市椒江区前所信质路28号	002664	长鹰信质	2012-03-16	"400,020,000"	"390,127,875"				0	0	华东	浙江	台州市	C 制造业	www.chinaxinzhi.com
中小板	首航高科能源技术股份有限公司	"Shouhang High-Tech Energy Co.,?Ltd"	甘肃省兰州市兰州新区祁连山大道北段2888号（综合保税区综合服务楼B区317室）	002665	首航高科	2012-03-27	"2,538,720,737"	"2,291,424,419"				0	0	西北	甘肃	兰州市	C 制造业	www.sh-ihw.com
中小板	广东德联集团股份有限公司	"Guangdong Delian Group Co.,Ltd."	广东省佛山市南海区小塘狮山新城开发区	002666	德联集团	2012-03-27	"754,329,268"	"446,849,747"				0	0	华南	广东	佛山市	C 制造业	www.delian.cn
中小板	鞍山重型矿山机器股份有限公司	"AnShan Heavy Duty Mining Machinery Co.,Ltd"	辽宁省鞍山市立山区胜利北路900号	002667	鞍重股份	2012-03-29	"231,132,000"	"231,023,625"				0	0	东北	辽宁	鞍山市	C 制造业	www.aszkjqc.com
中小板	广东奥马电器股份有限公司	"Guangdong Homa Group Co.,Ltd."	广东省中山市南头镇东福北路54号	002668	奥马电器	2012-04-16	"1,084,111,428"	"845,671,883"				0	0	华南	广东	中山市	C 制造业	www.homa.cn
中小板	上海康达化工新材料集团股份有限公司	"Shanghai Kangda New Materials Group Co., Ltd"	上海市奉贤区雷州路169号	002669	康达新材	2012-04-16	"252,492,921"	"250,307,721"				0	0	华东	上海	上海市	C 制造业	www.kangda-sh.com
中小板	国盛金融控股集团股份有限公司	Guosheng Financial Holding Inc.	广东省佛山市顺德区容桂华口昌宝东路13号	002670	国盛金控	2012-04-16	"1,935,084,653"	"1,623,350,559"				0	0	华南	广东	佛山市	J 金融业	www.wasung.com
中小板	山东龙泉管道工程股份有限公司	"Shandong Longquan Pipeline Engineering Co.,LTD"	山东省淄博市博山区尖山东路36号	002671	龙泉股份	2012-04-26	"566,930,368"	"466,507,865"				0	0	华东	山东	淄博市	C 制造业	www.lq-pipe.cn
中小板	东江环保股份有限公司	Dongjiang Environmental Company Limited	广东省深圳市南山区高新区北区朗山路9号东江环保大楼1楼、3楼、8楼北面、9楼、10楼、11楼、12楼	002672	东江环保	2012-04-26	"679,129,602"	"678,212,315"				0	0	华南	广东	深圳市	C 制造业	www.dongjiang.com.cn
中小板	西部证券股份有限公司	"WESTERN SECURITIES CO.,LTD"	陕西省西安市新城区东新街319号8幢10000室	002673	西部证券	2012-05-03	"3,501,839,770"	"3,501,839,770"				0	0	西北	陕西	西安市	J 金融业	www.west95582.com
中小板	兴业皮革科技股份有限公司	"XINGYE LEATHER TECHNOLOGY CO.,LTD."	福建省晋江市安海第二工业区兴业路1号	002674	兴业科技	2012-05-07	"291,862,944"	"288,866,652"				0	0	华东	福建	泉州市	C 制造业	www.xingyeleather.com
中小板	烟台东诚药业集团股份有限公司	"Yantai Dongcheng Biochemicals Co.,Ltd."	山东省烟台经济技术开发区长白山路7号	002675	东诚药业	2012-05-25	"802,214,326"	"682,256,292"				0	0	华东	山东	烟台市	C 制造业	www.dcb-group.com
中小板	广东顺威精密塑料股份有限公司	"GUANGDONG SUNWILL PRECISING PLASTIC CO.,LTD."	广东省佛山市顺德区高新区(容桂)科苑一路6号	002676	顺威股份	2012-05-25	"720,000,000"	"719,976,460"				0	0	华南	广东	佛山市	C 制造业	www.sunwill.com.cn
中小板	浙江美大实业股份有限公司	"Zhejiang Meida Industrial Co.,Ltd."	浙江省海宁市袁花镇谈桥81号	002677	浙江美大	2012-05-25	"646,051,647"	"415,037,022"				0	0	华东	浙江	嘉兴市	C 制造业	www.meida.com
中小板	广州珠江钢琴集团股份有限公司	"Guangzhou Pearl River Piano Group Co.,Ltd"	广东省广州市增城区永宁街香山大道38号	002678	珠江钢琴	2012-05-30	"1,358,320,323"	"1,357,211,531"				0	0	华南	广东	广州市	C 制造业	www.pearlriverpiano.com
中小板	福建金森林业股份有限公司	"FUJIAN JINSEN FORESTRY Co.,Ltd."	福建省三明市将乐县水南镇三华南路50号12-15层	002679	福建金森	2012-06-05	"235,756,000"	"235,756,000"				0	0	华东	福建	三明市	A 农林牧渔	www.jinsenforestry.com
中小板	深圳市奋达科技股份有限公司	"Shenzhen Fenda Technology Co.,Ltd."	广东省深圳市宝安区石岩洲石路奋达科技园	002681	*ST奋达	2012-06-05	"1,824,667,620"	"1,119,377,088"				0	0	华南	广东	深圳市	C 制造业	www.fenda.com
中小板	龙洲集团股份有限公司	LONGZHOU GROUP CO.，LTD.	福建省龙岩市新罗区南环西路112号	002682	龙洲股份	2012-06-12	"562,368,594"	"551,582,939"				0	0	华东	福建	龙岩市	G 运输仓储	www.lzgf.cn
